Apollo NEA quantity: 506 (how many times we can actually see NEA asteroids)
Apollo NEA Unique quantity: 228
Apollo NEAs: 
b'1989 AZ'
b'1989 DA'
b'1990 SM'
b'1991 CB1'
b'1991 DG'
b'1994 AH2'
b'1994 EK'
b'1995 FJ'
b'1996 XW1'
b'1997 AQ18'
b'1997 US2'
b'1998 HK49'
b'1998 OR2'
b'1998 XM4'
b'1999 KV4'
b'1999 LS7'
b'1999 SG10'
b'2000 BJ19'
b'2000 EF104'
b'2000 GP82'
b'2000 HD24'
b'2000 PD3'
b'2000 SO10'
b'2000 WN10'
b'2001 DR8'
b'2001 KZ66'
b'2001 OA14'
b'2001 QN142'
b'2001 VJ5'
b'2001 YP3'
b'2002 BK25'
b'2002 BM26'
b'2002 GM2'
b'2002 GP186'
b'2002 JY8'
b'2002 NX'
b'2002 RT129'
b'2002 TD66'
b'2002 XK4'
b'2003 BA21'
b'2003 DF6'
b'2003 EG16'
b'2003 MK4'
b'2003 QR79'
b'2003 SK84'
b'2003 SQ15'
b'2003 SU84'
b'2003 WL25'
b'2003 YK118'
b'2003 YQ94'
b'2004 AD1'
b'2004 CE39'
b'2004 CL1'
b'2004 FF29'
b'2004 FN32'
b'2004 RD252'
b'2004 RZ164'
b'2004 UL'
b'2004 YG1'
b'2005 NZ6'
b'2005 QQ30'
b'2005 SH26'
b'2005 UU3'
b'2005 YO180'
b'2006 AD'
b'2006 AR3'
b'2006 AW'
b'2006 DP14'
b'2006 HU30'
b'2006 JY25'
b'2006 OS9'
b'2006 VC'
b'2006 VD13'
b'2006 WW'
b'2006 XF1'
b'2007 DZ40'
b'2007 EA26'
b'2007 FE'
b'2007 FF1'
b'2007 HG44'
b'2007 MK13'
b'2007 NC5'
b'2007 RR12'
b'2007 RU17'
b'2007 TG8'
b'2007 WE55'
b'2007 WY3'
b'2007 XJ20'
b'2008 CG119'
b'2008 EJ68'
b'2008 FU6'
b'2008 HU4'
b'2008 JD33'
b'2008 LW8'
b'2008 OS7'
b'2009 DZ'
b'2009 FG1'
b'2009 HM82'
b'2009 SP171'
b'2009 SX1'
b'2009 SY'
b'2009 UK20'
b'2009 WP25'
b'2009 YO'
b'2010 CC55'
b'2010 CN1'
b'2010 CO1'
b'2010 DM21'
b'2010 EJ43'
b'2010 NY65'
b'2010 TU5'
b'2010 WB3'
b'2010 WG3'
b'2010 XC11'
b'2011 BX10'
b'2011 CH71'
b'2011 DS9'
b'2011 EJ47'
b'2011 GB55'
b'2011 LC19'
b'2011 OV18'
b'2011 SG5'
b'2012 HZ33'
b'2012 MB7'
b'2012 PS4'
b'2012 RK15'
b'2012 SC22'
b'2012 TQ78'
b'2013 AP60'
b'2013 EY27'
b'2013 JM14'
b'2013 LK7'
b'2013 LV28'
b'2013 NJ10'
b'2013 RX80'
b'2013 UF3'
b'2013 XN24'
b'2013 YT102'
b'2014 BW57'
b'2014 DJ112'
b'2014 EQ12'
b'2014 GL49'
b'2014 HV177'
b'2014 JY79'
b'2014 NF64'
b'2014 QT296'
b'2014 VL6'
b'2014 VT6'
b'2014 WF365'
b'2014 YT9'
b'2014 YY8'
b'2015 CZ13'
b'2015 FL'
b'2015 JV'
b'2015 MQ101'
b'2015 PC228'
b'2015 PN307'
b'2015 RH2'
b'2015 TL178'
b'2015 TM237'
b'2015 XB'
b'2015 XM129'
b'2015 XW261'
b'2016 CJ136'
b'2016 CL264'
b'2016 DP'
b'2016 EG28'
b'2016 EH157'
b'2016 FX2'
b'2016 GM206'
b'2016 KC'
b'2016 LD9'
b'2016 LS51'
b'2016 NG33'
b'2016 NT22'
b'2016 QE45'
b'2016 QJ44'
b'2016 TA56'
b'2016 TE93'
b'2016 UW40'
b'2016 VU3'
b'2016 YO3'
b'2017 BQ6'
b'2017 MN8'
b'2017 XL2'
b'2017 YE5'
b'2018 CX13'
b'2018 GL'
b'2018 GW3'
b'2018 JF'
b'2018 LM4'
b'2018 ND1'
b'2018 QY'
b'2018 VQ3'
b'2018 YZ1'
b'2019 AY9'
b'2019 BZ4'
b'2019 CH1'
b'2019 CS'
b'2019 HN'
b'2019 JR7'
b'2019 QD6'
b'2019 QV'
b'2019 TV1'
b'2020 HC11'
b'2020 TE7'
b'2020 UV1'
b'2020 VS'
b'2020 WB'
b'2021 AT5'
b'2021 BZ2'
b'2021 CC1'
b'2021 CM6'
b'2021 CP1'
b'2021 CQ3'
b'2021 CR'
b'2021 CS5'
b'2021 CU'
b'2021 CU3'
b'2021 CZ5'
