Aten NEA quantity: 76 (how many times we can actually see NEA asteroids)
Aten NEA Unique quantity: 29
Aten NEAs: 
b'1998 SD15'
b'1998 SO'
b'2002 AU4'
b'2003 AF23'
b'2004 EW'
b'2004 TR12'
b'2005 GO21'
b'2005 NE21'
b'2007 AG'
b'2007 EX'
b'2009 MW'
b'2009 XZ1'
b'2010 VX139'
b'2012 QH8'
b'2013 BE19'
b'2014 UR'
b'2015 AB44'
b'2015 CB'
b'2015 FD341'
b'2015 XT168'
b'2016 QA2'
b'2017 TK6'
b'2017 VU13'
b'2018 DV1'
b'2019 UY1'
b'2020 RX8'
b'2020 VN1'
b'2021 CD1'
b'2021 CE1'

All NEA data: 
b'-' b'2014 UR' b'20 17 18.0067' b'-25 13 33.161' b'NEA>Aten' b'27.3' b'1.809' b'545.726' b'304.32502778491545' b'-25.225877978433747' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+UR'
b'164202' b'2004 EW' b'21 01 43.0646' b'-21 49 20.090' b'NEA>Aten' b'23.4' b'0.11' b'690.841' b'315.429435655725' b'-21.822247273675863' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'164202' b'2004 EW' b'21 01 47.9747' b'-21 49 0.258' b'NEA>Aten' b'23.4' b'0.11' b'526.449' b'315.44989441269547' b'-21.81673835953315' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'164202' b'2004 EW' b'21 01 52.8850' b'-21 48 40.415' b'NEA>Aten' b'23.4' b'0.11' b'733.662' b'315.47035418838493' b'-21.81122632105158' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'-' b'2018 DV1' b'22 15 5.1449' b'-15 07 11.644' b'NEA>Aten' b'30.3' b'5.737' b'248.293' b'333.7714371402128' b'-15.119901038641238' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2018+DV1'
b'260277' b'2004 TR12' b'01 24 28.5519' b'+01 26 37.541' b'NEA>Aten' b'20.3' b'0.383' b'500.762' b'21.118966443083345' b'1.4437613247590195' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+TR12'
b'-' b'2015 AB44' b'02 00 29.6842' b'+03 30 54.233' b'NEA>Aten' b'25.3' b'1.85' b'743.919' b'30.123684099675433' b'3.515064815415084' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2015 AB44' b'02 00 33.5470' b'+03 31 15.604' b'NEA>Aten' b'25.3' b'1.85' b'519.326' b'30.139779141896206' b'3.5210010896098627' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2015 AB44' b'02 00 37.4096' b'+03 31 36.972' b'NEA>Aten' b'25.3' b'1.85' b'375.895' b'30.155873486827343' b'3.5269365473397785' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2015 AB44' b'02 00 41.2721' b'+03 31 58.336' b'NEA>Aten' b'25.3' b'1.85' b'410.136' b'30.171967134468844' b'3.532871187458929' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2015 AB44' b'02 00 45.1344' b'+03 32 19.698' b'NEA>Aten' b'25.3' b'1.85' b'591.986' b'30.188060085393662' b'3.5388050105402473' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2015 AB44' b'02 00 48.9966' b'+03 32 41.057' b'NEA>Aten' b'25.3' b'1.85' b'829.465' b'30.204152340747722' b'3.5447380160108004' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+AB44'
b'-' b'2017 VU13' b'04 01 38.6135' b'+11 14 56.028' b'NEA>Aten' b'23.0' b'48.428' b'859.101' b'60.410889608090145' b'11.248896768656111' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 01 42.3828' b'+11 15 24.610' b'NEA>Aten' b'23.0' b'48.428' b'751.396' b'60.426594959942065' b'11.256836045433925' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 01 46.1526' b'+11 15 53.195' b'NEA>Aten' b'23.0' b'48.428' b'648.671' b'60.442302301103425' b'11.26477640109127' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 01 49.9228' b'+11 16 21.784' b'NEA>Aten' b'23.0' b'48.428' b'553.701' b'60.45801163329315' b'11.272717837919972' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 01 53.6935' b'+11 16 50.377' b'NEA>Aten' b'23.0' b'48.428' b'471.194' b'60.4737229565112' b'11.28066035649299' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 01 57.4647' b'+11 17 18.974' b'NEA>Aten' b'23.0' b'48.428' b'408.764' b'60.48943626961166' b'11.288603957956246' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 1.2364' b'+11 17 47.575' b'NEA>Aten' b'23.0' b'48.428' b'376.529' b'60.50515157316752' b'11.296548643455651' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 5.0085' b'+11 18 16.180' b'NEA>Aten' b'23.0' b'48.428' b'382.203' b'60.5208688666058' b'11.30449441356416' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 8.7812' b'+11 18 44.789' b'NEA>Aten' b'23.0' b'48.428' b'424.263' b'60.53658814935354' b'11.31244126942768' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 12.5543' b'+11 19 13.401' b'NEA>Aten' b'23.0' b'48.428' b'493.489' b'60.55230942255666' b'11.32038921276511' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 16.3278' b'+11 19 42.018' b'NEA>Aten' b'23.0' b'48.428' b'580.236' b'60.568032686215155' b'11.328338244149379' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 20.1019' b'+11 20 10.638' b'NEA>Aten' b'23.0' b'48.428' b'677.806' b'60.58375793918312' b'11.336288364726432' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 23.8764' b'+11 20 39.262' b'NEA>Aten' b'23.0' b'48.428' b'782.158' b'60.59948518146055' b'11.344239575642154' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2017 VU13' b'04 02 27.6515' b'+11 21 7.891' b'NEA>Aten' b'23.0' b'48.428' b'890.911' b'60.6152144136204' b'11.352191878042493' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'-' b'2010 VX139' b'04 18 56.8103' b'+12 04 18.902' b'NEA>Aten' b'23.3' b'2.537' b'422.542' b'64.73670952394436' b'12.071917296363777' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+VX139'
b'-' b'2009 MW' b'22 15 4.3182' b'-14 14 1.506' b'NEA>Aten' b'23.0' b'0.502' b'769.775' b'333.76799254029385' b'-14.233751800477311' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+MW'
b'-' b'2005 NE21' b'22 46 42.9975' b'-13 13 5.715' b'NEA>Aten' b'23.0' b'3.19' b'795.587' b'341.679156246066' b'-13.218254057587385' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+NE21'
b'164202' b'2004 EW' b'23 03 5.6164' b'-10 42 5.159' b'NEA>Aten' b'23.1' b'0.112' b'636.617' b'345.77340155011666' b'-10.701433193569539' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'164202' b'2004 EW' b'23 03 10.9415' b'-10 41 29.003' b'NEA>Aten' b'23.1' b'0.112' b'522.68' b'345.7955896902373' b'-10.691389639907685' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'164202' b'2004 EW' b'23 03 16.2670' b'-10 40 52.836' b'NEA>Aten' b'23.1' b'0.112' b'787.29' b'345.8177792856708' b'-10.68134320025742' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'-' b'2017 TK6' b'01 02 22.3577' b'-00 40 27.240' b'NEA>Aten' b'27.2' b'4.447' b'699.33' b'15.593157025760101' b'-0.6742332827203621' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
b'-' b'2017 TK6' b'01 02 25.7220' b'-00 40 0.436' b'NEA>Aten' b'27.2' b'4.447' b'527.445' b'15.60717514066423' b'-0.666787723101653' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
