Amor NEA quantity: 353 (how many times we can actually see NEA asteroids)
Amor NEA Unique quantity: 187
Amor NEAs: 
b'1991 DB'
b'1993 FS'
b'1993 HO1'
b'1994 LW'
b'1996 AS1'
b'1996 BA1'
b'1996 DH'
b'1996 FO3'
b'1998 BG9'
b'1998 FN9'
b'1998 SE35'
b'1998 UC50'
b'1998 XC9'
b'1999 AF4'
b'1999 DK3'
b'1999 HX1'
b'1999 VL12'
b'2000 CL33'
b'2000 NF11'
b'2000 TQ64'
b'2000 YJ66'
b'2001 HG31'
b'2001 MQ3'
b'2001 TB45'
b'2001 XS1'
b'2002 CR11'
b'2002 GD11'
b'2002 MY'
b'2002 NP1'
b'2002 RU25'
b'2002 TS67'
b'2002 UN3'
b'2003 BL1'
b'2003 BO1'
b'2003 CC11'
b'2003 CQ20'
b'2003 GH21'
b'2003 ME7'
b'2003 QB90'
b'2003 RL10'
b'2003 SJ215'
b'2003 VG1'
b'2003 WX87'
b'2003 XL'
b'2004 FZ5'
b'2004 LZ5'
b'2004 NM8'
b'2004 RN335'
b'2004 SZ19'
b'2004 XM35'
b'2004 YU5'
b'2005 AB'
b'2005 CV38'
b'2005 HA8'
b'2005 LV7'
b'2005 SC71'
b'2005 TF'
b'2005 XM4'
b'2006 BO55'
b'2006 BX139'
b'2006 KF100'
b'2006 KT1'
b'2006 NM'
b'2006 QU89'
b'2006 SY217'
b'2006 UD17'
b'2006 UM'
b'2007 AH12'
b'2007 RZ8'
b'2007 VC138'
b'2007 YU56'
b'2008 CJ70'
b'2008 OX8'
b'2008 SP'
b'2008 TF4'
b'2008 UC95'
b'2008 UG7'
b'2008 UW5'
b'2009 AS'
b'2009 BH81'
b'2009 CQ1'
b'2009 DD1'
b'2009 NA'
b'2009 QK2'
b'2009 WE253'
b'2009 WN'
b'2009 WN25'
b'2010 CM'
b'2010 EH43'
b'2010 FY80'
b'2010 GA34'
b'2010 HD33'
b'2010 KH'
b'2010 VK188'
b'2010 XK52'
b'2011 AL52'
b'2011 ED78'
b'2011 GA55'
b'2011 ON24'
b'2011 SG16'
b'2011 SU67'
b'2011 UY114'
b'2011 VR5'
b'2011 YH6'
b'2012 BE86'
b'2012 BF11'
b'2012 CL2'
b'2012 CU59'
b'2012 DZ32'
b'2012 QF49'
b'2012 SK8'
b'2013 AA2'
b'2013 AE69'
b'2013 DM1'
b'2013 EO20'
b'2013 FY13'
b'2013 FY7'
b'2013 GC34'
b'2013 TG5'
b'2013 XB10'
b'2013 XH4'
b'2014 DV22'
b'2014 EF4'
b'2014 HH192'
b'2014 UF206'
b'2014 UO33'
b'2014 WG7'
b'2014 WJ70'
b'2015 AC45'
b'2015 BC511'
b'2015 BP515'
b'2015 CT58'
b'2015 DD155'
b'2015 DD198'
b'2015 JY1'
b'2015 QJ'
b'2015 TT351'
b'2015 XH351'
b'2016 AU130'
b'2016 BN1'
b'2016 DZ'
b'2016 EO85'
b'2016 JH38'
b'2016 RF40'
b'2016 RH18'
b'2016 WX9'
b'2017 DJ34'
b'2017 KP31'
b'2017 QQ32'
b'2017 UA8'
b'2018 EJ2'
b'2018 GL1'
b'2018 KF3'
b'2018 MM8'
b'2018 RL'
b'2018 TN6'
b'2018 WC6'
b'2018 WJ1'
b'2018 YJ'
b'2019 GJ5'
b'2019 GN21'
b'2019 JE6'
b'2019 KP'
b'2019 NO'
b'2019 OA5'
b'2019 PH'
b'2019 SH6'
b'2019 SP6'
b'2019 WU4'
b'2019 XL1'
b'2020 BG8'
b'2020 HW4'
b'2020 MB3'
b'2020 MF2'
b'2020 TM4'
b'2020 VD4'
b'2020 VX3'
b'2021 BH1'
b'2021 BV2'
b'2021 CQ9'
b'2021 CV3'
b'2021 CY1'
b'2021 CY10'
b'Abhramu'
b'Quetzalcoatl'
b'Seneca'
b'Taranis'

All NEA data: 
b'-' b'2009 CQ1' b'22 01 47.7414' b'-16 46 22.261' b'NEA>Amor' b'25.4' b'0.718' b'892.661' b'330.44892237838565' b'-16.772850165978376' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+CQ1'
